policy,lnd,mia,poa
1149_701_1149,76,1,22
1149_7018_1149,76,1,22
1149_6762_1149,76,1,22
1149_6453_1149,76,1,22
1149_5511_1149,75,1,23
1149_3356_1149,76,1,22
1149_3320_1149,76,1,22
1149_3257_1149,76,1,22
1149_2914_1149,76,1,22
1149_174_1149,75,1,22
1149_1299_1149,76,1,22
1149_1239_1149,75,1,22
1149_6939_1149,75,2,22
1149_63221_24115_1149,74,2,23
1149_6461_1149,74,3,22
1149_1273_1149,74,3,22
1149_1149_1149,71,5,23
1149_1149,67,8,23
1149_24115_1149,65,11,22
1149_63221_1149,58,19,22
1149_262589_1149,57,19,22
1149_1916_1149,57,19,22
1149_16735_1149,57,19,22
1149_1251_1149,58,19,22
1149_12953_1149,57,20,22
baseline,56,21,22
-4xMIA,16,71,11
-3xMIA,16,72,11
